X	Y	Z
9.26875019	-2.66650009	2.21424985
9.19950008	-2.69825006	2.29849982
9.25150013	-2.69324994	2.27699995
9.25699997	-2.64350009	2.27775002
9.05099964	-2.5792501	2.21825004
9.05074978	-2.57649994	2.29075003
9.11725044	-2.57850003	2.26849985
9.0567503	-2.49699998	2.2585001
9.09774971	-2.49900007	2.2874999
9.22525024	-2.58724999	2.20324993
9.15849972	-2.53699994	2.24599981
9.18249989	-2.5792501	2.25874996
9.15499973	-2.61124992	2.30474997
9.22649956	-2.59549999	2.30024981
9.18875027	-2.49725008	2.24950004
9.14299965	-2.69475007	2.34249997
9.04850006	-2.67424989	2.33899999
9.21000004	-2.71149993	2.35274982
9.26000023	-2.70900011	2.35150003
9.18350029	-2.66549993	2.3355
9.24024963	-2.66100001	2.32324982
9.2784996	-2.66350007	2.36599994
9.23799992	-2.63424993	2.3747499
9.27925014	-2.64899993	2.41799998
9.11124992	-2.61074996	2.37399983
9.13574982	-2.56699991	2.39625001
9.10925007	-2.50749993	2.39050007
9.18974972	-2.59500003	2.34249997
9.27050018	-2.59375	2.34124994
9.23099995	-2.57999992	2.37299991
9.20775032	-2.54124999	2.33449984
9.2727499	-2.53850007	2.34274983
9.27200031	-2.59549999	2.40524983
9.18500042	-2.55174994	2.37949991
9.15775013	-2.52900004	2.42549992
9.24825001	-2.53174996	2.38674998
8.74450016	-2.4835	2.09249997
8.71424961	-2.45050001	2.11824989
8.76650047	-2.43950009	2.10949993
8.7472496	-2.40875006	2.17199993
8.73149967	-2.4437499	2.22399998
8.76025009	-2.46000004	2.26224995
8.7670002	-2.36474991	2.20525002
8.81575012	-2.47300005	2.10675001
8.89525032	-2.46499991	2.08200002
8.86474991	-2.49099994	2.11749983
8.8135004	-2.41100001	2.1085
8.8920002	-2.40549994	2.07399988
8.78250027	-2.4749999	2.14599991
8.86375046	-2.44175005	2.12649989
8.87699986	-2.4684999	2.17225003
8.95075035	-2.46449995	2.08424997
9.00949955	-2.45125008	2.0787499
8.94550037	-2.40724993	2.08074999
9.02299976	-2.40275002	2.07850003
8.98499966	-2.40225005	2.11899996
8.95549965	-2.46574998	2.14874983
8.91549969	-2.43274999	2.12674999
9.01599979	-2.46550012	2.1335001
8.99174976	-2.44324994	2.18299985
9.02149963	-2.37750006	2.15050006
8.96875	-2.36174989	2.06075001
8.79100037	-2.46875	2.20175004
8.83125019	-2.46624994	2.23599982
8.88650036	-2.44024992	2.21374989
8.7822504	-2.42600012	2.23074985
8.85499954	-2.40400004	2.22949982
8.81299973	-2.44274998	2.27824998
8.87975025	-2.46475005	2.26024985
8.8267498	-2.39475012	2.29324985
8.89550018	-2.39350009	2.2585001
8.88274956	-2.40799999	2.30900002
8.94575024	-2.46650004	2.22599983
9.00024986	-2.46550012	2.24574995
8.98324966	-2.41700006	2.24624991
8.92675018	-2.44650006	2.27099991
8.99349976	-2.48699999	2.30499983
8.97124958	-2.43849993	2.30075002
8.93624973	-2.40175009	2.29199982
9.02250004	-2.3982501	2.27374983
8.97999954	-2.37175012	2.2974999
8.80449963	-2.33824992	2.2579999
9.0227499	-2.35349989	2.20700002
8.91899967	-2.33925009	2.2874999
8.98624992	-2.31524992	2.29725003
8.91100025	-2.28874993	2.30799985
8.96850014	-2.24049997	2.30075002
9.0142498	-2.24524999	2.28024983
9.07600021	-2.46875	2.06824994
9.0539999	-2.43274999	2.10874987
9.10000038	-2.40074992	2.10975003
9.05274963	-2.48175001	2.16774988
9.11124992	-2.46974993	2.12249994
9.08825016	-2.43650007	2.17474985
9.06649971	-2.37350011	2.18074989
9.14175034	-2.38474989	2.14374995
9.18599987	-2.37450004	2.16899991
